"Order","Source","Type","Category","LiveAction","YearMade","PlexTitle","Episode","EpisodeName","StoryTime","PlexId"
132,"SCI_FI","episode","Stargate SG-120","True",2002,"Stargate SG-1","s06e07","Shadow Play",,"NULL"
133,"SCI_FI","episode","Stargate SG-121","True",2002,"Stargate SG-1","s06e08","The Other Guys",,"NULL"
134,"SCI_FI","episode","Stargate SG-122","True",2002,"Stargate SG-1","s06e09","Allegiance",,"NULL"
135,"SCI_FI","episode","Stargate SG-123","True",2002,"Stargate SG-1","s06e10","Cure",,"NULL"
136,"SCI_FI","episode","Stargate SG-124","True",2002,"Stargate SG-1","s06e11","Prometheus (1)",,"NULL"
137,"SCI_FI","episode","Stargate SG-125","True",2002,"Stargate SG-1","s06e12","Unnatural Selection (2)",,"NULL"
138,"SCI_FI","episode","Stargate SG-126","True",2002,"Stargate SG-1","s06e13","Sight Unseen",,"NULL"
139,"SCI_FI","episode","Stargate SG-127","True",2002,"Stargate SG-1","s06e14","Smoke & Mirrors",,"NULL"
140,"SCI_FI","episode","Stargate SG-128","True",2003,"Stargate SG-1","s06e15","Paradise Lost",,"NULL"
141,"SCI_FI","episode","Stargate SG-129","True",2003,"Stargate SG-1","s06e16","Metamorphosis",,"NULL"
142,"SCI_FI","episode","Stargate SG-130","True",2003,"Stargate SG-1","s06e17","Disclosure",,"NULL"
143,"SCI_FI","episode","Stargate SG-131","True",2003,"Stargate SG-1","s06e18","Forsaken",,"NULL"
144,"SCI_FI","episode","Stargate SG-132","True",2003,"Stargate SG-1","s06e19","The Changeling",,"NULL"
145,"SCI_FI","episode","Stargate SG-133","True",2003,"Stargate SG-1","s06e20","Memento",,"NULL"
146,"SCI_FI","episode","Stargate SG-134","True",2003,"Stargate SG-1","s06e21","Prophecy",,"NULL"
147,"SCI_FI","episode","Stargate SG-135","True",2003,"Stargate SG-1","s06e22","Full Circle",,"NULL"
148,"SCI_FI","episode","Stargate SG-136","True",2003,"Stargate SG-1","s07e01","Fallen (1)",,"NULL"
149,"SCI_FI","episode","Stargate SG-137","True",2003,"Stargate SG-1","s07e02","Homecoming (2)",,"NULL"
150,"SCI_FI","episode","Stargate SG-138","True",2003,"Stargate SG-1","s07e03","Fragile Balance",,"NULL"
151,"SCI_FI","episode","Stargate SG-139","True",2003,"Stargate SG-1","s07e04","Orpheus",,"NULL"
152,"SCI_FI","episode","Stargate SG-140","True",2003,"Stargate SG-1","s07e05","Revisions",,"NULL"
153,"SCI_FI","episode","Stargate SG-141","True",2003,"Stargate SG-1","s07e06","Lifeboat",,"NULL"
154,"SCI_FI","episode","Stargate SG-142","True",2003,"Stargate SG-1","s07e07","Enemy Mine",,"NULL"
155,"SCI_FI","episode","Stargate SG-143","True",2003,"Stargate SG-1","s07e08","Space Race",,"NULL"
156,"SCI_FI","episode","Stargate SG-144","True",2003,"Stargate SG-1","s07e09","Avenger 2.0",,"NULL"
157,"SCI_FI","episode","Stargate SG-145","True",2003,"Stargate SG-1","s07e10","Birthright",,"NULL"
158,"SCI_FI","episode","Stargate SG-146","True",2003,"Stargate SG-1","s07e11","Evolution (1)",,"NULL"
159,"SCI_FI","episode","Stargate SG-147","True",2003,"Stargate SG-1","s07e12","Evolution (2)",,"NULL"
160,"SCI_FI","episode","Stargate SG-148","True",2004,"Stargate SG-1","s07e13","Grace",,"NULL"
161,"SCI_FI","episode","Stargate SG-149","True",2004,"Stargate SG-1","s07e14","Fallout",,"NULL"
162,"SCI_FI","episode","Stargate SG-150","True",2004,"Stargate SG-1","s07e15","Chimera",,"NULL"
163,"SCI_FI","episode","Stargate SG-151","True",2004,"Stargate SG-1","s07e16","Death Knell",,"NULL"
164,"SCI_FI","episode","Stargate SG-152","True",2004,"Stargate SG-1","s07e17","Heroes (1)",,"NULL"
165,"SCI_FI","episode","Stargate SG-153","True",2004,"Stargate SG-1","s07e18","Heroes (2)",,"NULL"
166,"SCI_FI","episode","Stargate SG-154","True",2004,"Stargate SG-1","s07e19","Resurrection",,"NULL"
167,"SCI_FI","episode","Stargate SG-155","True",2004,"Stargate SG-1","s07e20","Inauguration",,"NULL"
168,"SCI_FI","episode","Stargate SG-156","True",2004,"Stargate SG-1","s07e21","Lost City (1)",,"NULL"
169,"SCI_FI","episode","Stargate SG-157","True",2004,"Stargate SG-1","s07e22","Lost City (2)",,"NULL"
170,"SCI_FI","episode","Stargate SG-158","True",2004,"Stargate SG-1","s08e01","New Order (1)",,"NULL"
171,"SCI_FI","episode","Stargate SG-159","True",2004,"Stargate SG-1","s08e02","New Order (2)",,"NULL"
172,"SCI_FI","episode","Stargate Atlantis","True",2004,"Stargate Atlantis","s01e01","Rising (1)",,"NULL"
173,"SCI_FI","episode","Stargate Atlantis","True",2004,"Stargate Atlantis","s01e01","Rising",,"NULL"
174,"SCI_FI","episode","Stargate Atlantis","True",2004,"Stargate Atlantis","s01e02","Rising (2)",,"NULL"
175,"SCI_FI","episode","Stargate Atlantis","True",2004,"Stargate Atlantis","s01e02","Rising",,"NULL"
176,"SCI_FI","episode","Stargate SG-160","True",2004,"Stargate SG-1","s08e03","Lockdown",,"NULL"
177,"SCI_FI","episode","Stargate Atlantis","True",2004,"Stargate Atlantis","s01e03","Hide and Seek",,"NULL"
178,"SCI_FI","episode","Stargate SG-161","True",2004,"Stargate SG-1","s08e04","Zero Hour",,"NULL"
179,"SCI_FI","episode","Stargate Atlantis","True",2004,"Stargate Atlantis","s01e04","Thirty-Eight Minutes",,"NULL"
180,"SCI_FI","episode","Stargate SG-162","True",2004,"Stargate SG-1","s08e05","Icon",,"NULL"
181,"SCI_FI","episode","Stargate Atlantis","True",2004,"Stargate Atlantis","s01e05","Suspicion",,"NULL"
182,"SCI_FI","episode","Stargate SG-163","True",2004,"Stargate SG-1","s08e06","Avatar",,"NULL"
183,"SCI_FI","episode","Stargate Atlantis","True",2004,"Stargate Atlantis","s01e06","Childhood's End",,"NULL"
184,"SCI_FI","episode","Stargate SG-164","True",2004,"Stargate SG-1","s08e07","Affinity",,"NULL"
185,"SCI_FI","episode","Stargate Atlantis","True",2004,"Stargate Atlantis","s01e07","Poisoning the Well",,"NULL"
186,"SCI_FI","episode","Stargate SG-165","True",2004,"Stargate SG-1","s08e08","Covenant",,"NULL"
187,"SCI_FI","episode","Stargate Atlantis","True",2004,"Stargate Atlantis","s01e08","Underground",,"NULL"
188,"SCI_FI","episode","Stargate SG-166","True",2004,"Stargate SG-1","s08e09","Sacrifices",,"NULL"
189,"SCI_FI","episode","Stargate Atlantis","True",2004,"Stargate Atlantis","s01e09","Home",,"NULL"
190,"SCI_FI","episode","Stargate SG-167","True",2004,"Stargate SG-1","s08e10","Endgame",,"NULL"
191,"SCI_FI","episode","Stargate Atlantis","True",2004,"Stargate Atlantis","s01e10","The Storm (1)",,"NULL"
192,"SCI_FI","episode","Stargate Atlantis","True",2004,"Stargate Atlantis","s01e11","The Eye (2)",,"NULL"
193,"SCI_FI","episode","Stargate SG-168","True",2004,"Stargate SG-1","s08e11","Gemini",,"NULL"
194,"SCI_FI","episode","Stargate SG-169","True",2004,"Stargate SG-1","s08e12","Prometheus Unbound",,"NULL"
195,"SCI_FI","episode","Stargate SG-170","True",2005,"Stargate SG-1","s08e13","It's Good To Be King",,"NULL"
196,"SCI_FI","episode","Stargate SG-171","True",2005,"Stargate SG-1","s08e14","Full Alert",,"NULL"
